actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-26T02:10:28.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-26T02:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2026-01-26T02:10:30.2Z,1,REGULAR,jumpball,recovered,[],1629611,,,1610612751,0,0,2026-01-26T02:10:30Z,40000,False,,,0,,Jump Ball N. Claxton vs. I. Zubac: Tip to T. Mann,"[1629611, 1629651, 1627826]",1610612751.0,BKN,startperiod,T. Mann,1629611.0,Mann,T. Mann,Claxton,1629651.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-01-26T02:10:48.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,7.178055190538765,51.71568627450981,1610612751,0,2,2026-01-26T02:10:54Z,70000,False,-9.0,15.0,1,left,M. Porter Jr. reverse Layup (2 PTS) (E. Dëmin 1 AST),"[1629008, 1642856]",1610612751.0,BKN,reverse,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,1.73,Made,2.0,E. Dëmin,1642856.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2026-01-26T02:11:08.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,91.40932982917214,57.35294117647059,1610612746,2,2,2026-01-26T02:11:55Z,90000,False,37.0,28.0,1,right,I. Zubac driving Hook (2 PTS) (K. Leonard 1 AST),"[1627826, 202695]",1610612746.0,LAC,driving,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,4.64,Made,2.0,K. Leonard,202695.0,1.0,,,,,,,,,,,,,,
11,PT11M06.00S,2026-01-26T02:11:21.2Z,1,REGULAR,3pt,Jump Shot,[],1642856,22.683968462549277,7.8431372549019605,1610612751,2,2,2026-01-26T02:11:28Z,110000,False,211.0,161.0,1,left,MISS E. Dëmin 26' 3PT,[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Right Center,26.51,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2026-01-26T02:11:23.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,2,2,2026-01-26T02:11:28Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,11.0,,,,,,,,,,,,,
14,PT10M38.00S,2026-01-26T02:12:03.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628381,90.75229960578186,59.31372549019608,1610612746,4,2,2026-01-26T02:12:47Z,140000,False,47.0,34.0,1,right,J. Collins driving Hook (2 PTS) (K. Leonard 2 AST),"[1628381, 202695]",1610612746.0,LAC,driving,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,5.79,Made,2.0,K. Leonard,202695.0,2.0,,,,,,,,,,,,,,
16,PT10M24.00S,2026-01-26T02:12:17.9Z,1,REGULAR,2pt,Jump Shot,[],1629008,18.873193166885677,77.94117647058823,1610612751,4,2,2026-01-26T02:12:23Z,160000,False,-140.0,125.0,1,left,MISS M. Porter Jr. 18' pullup Shot,[1629008],1610612751.0,BKN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,18.74,Missed,,,,,,,,,,,,,,,,,,
17,PT10M22.00S,2026-01-26T02:12:19.9Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,4,2,2026-01-26T02:12:23Z,170000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,16-24 Left Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M16.00S,2026-01-26T02:12:27.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201935,92.19776609724047,47.05882352941176,1610612746,4,2,2026-01-26T02:12:37Z,180000,False,-15.0,21.0,1,right,MISS J. Harden running Layup - blocked,"[201935, 1629651]",1610612746.0,LAC,running,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,2.55,Missed,,,,,,,,,Claxton,1629651.0,,,,,,,,
19,PT10M16.00S,2026-01-26T02:12:27.4Z,1,REGULAR,block,,[],1629651,,,1610612746,4,2,2026-01-26T02:12:29Z,190000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M16.00S,2026-01-26T02:12:27.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,4,2,2026-01-26T02:12:37Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,18.0,,,,,,,,,,,,,
22,PT10M08.00S,2026-01-26T02:12:54.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628381,93.51182654402102,48.28431372549019,1610612746,4,2,2026-01-26T02:12:59Z,220000,False,-9.0,8.0,1,right,MISS J. Collins driving reverse Layup,[1628381],1610612746.0,LAC,driving reverse,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,1.21,Missed,,,,,,,,,,,,,,,,,,
23,PT10M06.00S,2026-01-26T02:12:56.9Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,4,2,2026-01-26T02:12:59Z,230000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
